cc_alias	language	lexeme	status	lexeme_source	cognacy_source	comment
I-B	Badga	na		Kolipakam fieldwork (A)	Verkerk (B)	high quality lookalike
I-B	Betta_Kurumba	na:ʋə		Kolipakam fieldwork (A)	Dunn (C)	reasonable lookalike (need an explanation for the ending)
I-B	Brahui	i:		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:468 (A)	5160
I-B	Gondi	nanna		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:468 (A)	5160
I-B	Kannada	na:nu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:468 (C)	no. 5160 Form in DED is: Ka. ān (obl. en-), nān (obl. nan-).
I-B	Kodava	na:nə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:468 (C)	no. 5160 Form in DED is: Koḍ. na·nï, na· (obl. en-, nan-, na·-).
I-B	Kolami	ne:nu		Kolipakam (fieldwork) (A)	Kolipakam (A)	Based on similarity with Telugu : ne:nu
I-B	Kota	a:n		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:468 (A)	3160
I-B	Koya	nanna		Kolipakam fieldwork (A)	Verkerk (B)	high quality lookalike
I-B	Kurukh	ae:n		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:468 (A)	5160
I-B	Kuwi	na:nu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:468 (A)	no.5160
I-B	Kuwi	mu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:468 (A)	3160
I-B	Malayalam	ɲa:n		Andronov 1964 (B); Kolipakam fieldwork (A)	Burrow Emeneau 1961:468 (A)	no. 5160
I-B	Malto	he:nu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:468 (A)	no. 5160
I-B	Ollari_Gadba	a:n		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:468 (A)	5160
I-B	Parji	ān		Andronov 1964 (B)	Andronov 1964 (A); Burrow Emeneau 1961:468 (B)	; no. 5160
I-B	Tamil	na:n		Andronov 1964 (B); Kolipakam fieldwork (A)	Burrow Emeneau 1961:468 (A)	no. 5160
I-B	Telugu	ne:nu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:468 (A)	no. 5160
I-B	Toda	o:n		Kolipakam fieldwork (A)	Burrow Emeneau 1961:468 (A)	no. 5160
I-B	Tulu	ja:nu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:468 (A)	no. 5160
I-B	Yeruva	na:n		Kolipakam fieldwork (A)	Verkerk (B)	high quality lookalike
all-A	Badga	ella		Kolipakam fieldwork (A)	Verkerk (B)	high quality look-alike
all-A	Kannada	ella		Kolipakam fieldwork (A)	Andronov 1964 (A); Burrow Emeneau 1961:DED844 (A)	; DED844
all-A	Kodava	ella		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED844 (A)	DED844
all-A	Kota	ella:m		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:82 (A)	DED844
all-A	Malayalam	ella		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED844 (A)	; DED844 - cited as ellam: Ma. ellām, ellāvum all; ellīrum you all.
all-A	Tamil	ella:m		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED844 (A)	; DED844
all-B	Koya	anta:		Kolipakam fieldwork (A)	Verkerk (B)	high quality look-alike
all-B	Telugu	anta		Andronov 1964 (B)	Andronov 1964 (B)	
all-C	Koya	mottam		Kolipakam fieldwork (A)	Verkerk (B)	high quality look-alike
all-C	Telugu	mottamu		Kolipakam fieldwork (A)	Verkerk (B)	
all-D	Toda	oʋʋoɖimo		Kolipakam fieldwork (A)	Verkerk (B)	could be ofody in following DED990 reference: To. wïḏ (obl. wïḏn-/wïn-) one; wïḏy, wïḏi· alone; wïnaṛ at the same time, together (wïḏ naṛ one step; cf. 3582); wïḏïnaṛ at once, immediately (< wïḏi· naṛ one step only); ofoḏy all, the whole (cf. Ta. ovv-oṉṟu each one).
all-E	Telugu	anni		Kolipakam fieldwork (A)	Verkerk (B)	
all-F	Yeruva	nanga:ɭə		Kolipakam fieldwork (A)	Verkerk (B)	
all-G	Tulu	Ma:ta		Kolipakam fieldwork (A)	Verkerk (B)	
all-H	Betta_Kurumba	o:ʈəja		Kolipakam fieldwork (A)	Dunn (B)	apparent singleton
all-I	Kuwi	hara		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:215 (A)	DED2461
all-J	Brahui	kull		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates.
all-K	Malto	go:ʈahi:		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates.
all-L	Malto	gi:ʈeni:		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates.
all-M	Kurukh	majin		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates
all-N	Kolami	ma:k		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates
all-O	Gondi	bottig		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates
ashes-A	Malayalam	tʃa:mbal		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED2453 (A)	; 
ashes-A	Malayalam	tʃa:ɾam		Kolipakam fieldwork (A)	Jordan (B)	Lookalike to members of DED2453
ashes-A	Tamil	sa:mbal		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED2453 (A)	; 
ashes-B	Badga	kolabu:di		Kolipakam fieldwork (A)	Jordan (B)	Lookalike to members of DED4316
ashes-B	Betta_Kurumba	pi:di		Kolipakam fieldwork (A)	Jordan (B)	Lookalike with members of DED4316
ashes-B	Kannada	bu:di		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4316 (C)	B&E form: būda, būdi, būdu "The forms in brackets are probably, but not all necessarily, borrowed from Skt. DED (S, N) 3541" but see note on the cognate class.
ashes-B	Kodava	bu:di		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4316 (C)	"The forms in brackets are probably, but not all necessarily, borrowed from Skt. DED (S, N) 3541" but see note on cognate class
ashes-B	Kota	po:du atukə		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:381 (A)	DED4316
ashes-B	Koya	bu:ɖida		Kolipakam fieldwork (A)	Jordan (B)	Identical to members of DED4316
ashes-B	Telugu	bu:ɖida		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4316 (A)	
ashes-B	Toda	pu:di		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4316 (C)	B&E form: To. pu·Q "The forms in brackets are probably, but not all necessarily, borrowed from Skt. DED (S, N) 3541" But see note on cognate class.
ashes-B	Yeruva	bu:di		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4316 (C)	Lookalike with Kodava "The forms in brackets are probably, but not all necessarily, borrowed from Skt. DED (S, N) 3541" But see note on cognate class.
ashes-C	Tulu	tʃu:nja		Kolipakam fieldwork (A)	Jordan (B)	Self-identified
ashes-C	Tulu	tʃo:nja		Kolipakam fieldwork (A)	Jordan (B)	Self-identified
ashes-D	Gondi	ni:ɾ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:329 (A)	DED3693
ashes-D	Ollari_Gadba	niɖ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:329 (A)	DED3693
ashes-D	Parji	nīd		Andronov 1964 (B)	Andronov 1964 (B)	
ashes-F	Brahui	his		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton
ashes-G	Kolami	buggi		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:376 (A)	DED4243
ashes-H	Kurukh	tʃind		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton
bark-A	Badga	paʈʈe		Kolipakam fieldwork (A)	Kolipakam (B)	high quality look alike of set - 3876(pg. 346), but not on DED list.
bark-A	Kodava	aʈʈe		Kolipakam fieldwork (A)	Kolipakam (B)	high quality look alike of set - 3876(pg. 346), but not on DED list.
