Grapheme	FREQUENCY	IPA	UNICODE
a:		aː	
e:		eː	
i:		iː	
o:		oː	
u:		uː		
ə:		əː
tʃː		tːʃ	
tʃ:		tːʃ	
eː		eː	
pː		pː	
p:		pː	
tʃtʃ		tːʃ	
dʒdʒ		dːʒ	
gott(ə)		g o tː	
tʃ		tʃ	
dh		dʱ	
th		tʰ	
dʒ		dʒ	
dz		dz
ʋʋ		ʋː	
ts		ts	
tsts		tːs	
tt		tː	
ss		sː	
kk		kː	
mm		mː
nn		nː		
ll		lː	
ɖɖ		ɖː	
ʈʈ		ʈː	
ɭɭ		ɭː	
ṭṭ		ʈː	
ḍḍ		ɖː	
pp		pː	
bb		bː	
gʰ		gʱ	
bʰ		bʱ
gg		gː	
/əɾsi/[wəɾsi]		ə ɾ s i	
dʰ		dʱ	
bo:dʰ		b oː dʱ	
vidʒdʒa"		v i dːʒ a	
piva:ʰd		p i v aː dʱ	
ɖʰ		ɖʰ	
kʰ		kʰ	
tʰ		tʰ	
ū	3	uː	U+016b
z	3	z	U+007a
ō	3	oː	U+014d
ṉ	4	n̪	U+1e49
ɲ	4	ɲ	U+0272
ṅ	4	ŋ	U+1e45
ē	4	eː	U+0113
ṇ	5	ɳ	U+1e47
f	6	f	U+0066
Ɛ	7	ɛ	U+0190
ɻ	7	ɻ	U+027b
ṟ	8	r̪	U+1e5f
ḍ	9	ɖ	U+1e0d
y	10	y	U+0079
ī	11	iː	U+012b
c	11	c	U+0063
x	14	x	U+0078
ṭ	16	ʈ	U+1e6d
ā	23	aː	U+0101
ʂ	24	ʂ	U+0282
v	27	v	U+0076
-	27	+	U+002d
ɭ	58	ɭ	U+026d
r	65	r	U+0072
ʒ	70	ʒ	U+0292
h	91	h	U+0068
ɳ	91	ɳ	U+0273
ʋ	139	ʋ	U+028b
s	151	s	U+0073
ʈ	156	ʈ	U+0288
j	165	j	U+006a
ʃ	172	ʃ	U+0283
b	192	b	U+0062
g	225	g	U+0067
ɖ	257	ɖ	U+0256
o	370	o	U+006f
p	377	p	U+0070
d	380	d	U+0064
ə	390	ə	U+0259
l	419	l	U+006c
ɾ	451	ɾ	U+027e
m	459	m	U+006d
e	520	e	U+0065
t	546	t	U+0074
k	596	k	U+006b
n	753	n	U+006e
u	773	u	U+0075
i	784	i	U+0069
a	1697	a	U+0061
_	8491	_	U+005f
ḻ	3	l̪	U+1e3b
ñ	2	ɲ	U+00f1
ã	2	ã	U+00e3
ṣ	2	ʂ	U+1e63
tissə ~ titʃtʃa	1	<???>	U+0074 U+0069 U+0073 U+0073 U+0259 U+0020 U+007e U+0020 U+0074 U+0069 U+0074 U+0283 U+0074 U+0283 U+0061
bja:ɭ ~ ben	1	<???>	U+0062 U+006a U+0061 U+003a U+026d U+0020 U+007e U+0020 U+0062 U+0065 U+006e
a:ɭə ~ a:ɭu	1	<???>	U+0061 U+003a U+026d U+0259 U+0020 U+007e U+0020 U+0061 U+003a U+026d U+0075
la:ʋu(adjective)	1	<???>	U+006c U+0061 U+003a U+028b U+0075 U+0028 U+0061 U+0064 U+006a U+0065 U+0063 U+0074 U+0069 U+0076 U+0065 U+0029
kaɖi ~ kajɾi	1	<???>	U+006b U+0061 U+0256 U+0069 U+0020 U+007e U+0020 U+006b U+0061 U+006a U+027e U+0069
bissə ~ bitʃtʃə	1	<???>	U+0062 U+0069 U+0073 U+0073 U+0259 U+0020 U+007e U+0020 U+0062 U+0069 U+0074 U+0283 U+0074 U+0283 U+0259
aɾgu ~ eɾgu	1	<???>	U+0061 U+027e U+0067 U+0075 U+0020 U+007e U+0020 U+0065 U+027e U+0067 U+0075
no:ɖ ~ najɾ	1	<???>	U+006e U+006f U+003a U+0256 U+0020 U+007e U+0020 U+006e U+0061 U+006a U+027e
gott(ə) uɳɖi	1	<???>	U+0067 U+006f U+0074 U+0074 U+0028 U+0259 U+0029 U+0020 U+0075 U+0273 U+0256 U+0069
ṛ	1	ɽ	U+1e5b
ir(ḍu)	1	<???>	U+0069 U+0072 U+0028 U+1e0d U+0075 U+0029
ɽ	1	ɽ	U+027d
ba:ɾ ~ ban ~ bu	1	<???>	U+0062 U+0061 U+003a U+027e U+0020 U+007e U+0020 U+0062 U+0061 U+006e U+0020 U+007e U+0020 U+0062 U+0075
kuɖi ~ kujɾi	1	<???>	U+006b U+0075 U+0256 U+0069 U+0020 U+007e U+0020 U+006b U+0075 U+006a U+027e U+0069
M	1	m	U+004d
pa:ɾ ~ pe:ɾ	1	<???>	U+0070 U+0061 U+003a U+027e U+0020 U+007e U+0020 U+0070 U+0065 U+003a U+027e
koʋʋu (noun)	1	<???>	U+006b U+006f U+028b U+028b U+0075 U+0020 U+0028 U+006e U+006f U+0075 U+006e U+0029
passla:ngi ~ patʃtʃəla:ngi	1	<???>	U+0070 U+0061 U+0073 U+0073 U+006c U+0061 U+003a U+006e U+0067 U+0069 U+0020 U+007e U+0020 U+0070 U+0061 U+0074 U+0283 U+0074 U+0283 U+0259 U+006c U+0061 U+003a U+006e U+0067 U+0069
kattu ~ kettu	1	<???>	U+006b U+0061 U+0074 U+0074 U+0075 U+0020 U+007e U+0020 U+006b U+0065 U+0074 U+0074 U+0075
